Project Name,SPI/PPI,Sector,Sub sector,Technology,Project Description,Region,World Bank Income Group,Number of Countries,Country 1,Country 2,Execution Date,Execution Type,Project Type ,Government Granting Entity,Government Support,Capacity,Capacity Unit,State Ownership (%),Private Ownership (%),Total Investment (USDm),Total Debt (USDm),Total Grant (USDm),Grant Provided By,Total State Contribution (USDm),Guarantees,SOE vs Public,Sponsors,Sponsor Contribution (USDm),Multilateral/Bilateral/Public Involvement,Multilateral/Bilateral/Public Allocations,Commercial Lenders,CommercialDebt,MultilateralDebt,BilateralDebt,InstitutionalDebt,PublicDebt,InternationalDebt,LocalDebt,GDP2016,Population2016,GDP2011,GDP2017
"Construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXXI)",SPI,Transport,Roads,Not Applicable,"The project entails the construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXXI). Sponsor of the project is State Fiscal Institutions In The City Of Moscow On Overhaul Of Apartment Buildings Moscow Ukris and covers the whole cost of the project which is equal to $ 7.03 million. Date of award is September 12, 2017. The company chosen for the construction is Ooo ""Remtehnik"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,12/09/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,7.03,0,Not Applicable,Not Applicable,7.03,Not Applicable,Public,State Fiscal Institutions In The City Of Moscow On Overhaul Of Apartment Buildings Moscow Ukris,7.03,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Overhaul of road P-255 Sibir Novosibirsk - Kemerovo - Krasnoyarsk - Irkutsk in the Irkutsk region (10.65KM),SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P-255 Sibir Novosibirsk - Kemerovo - Krasnoyarsk - Irkutsk 1614 km + 300 km 1624 + 950 (adjustment) in the Irkutsk region. Sponsor of the project is Federal Public Institutions Management Highway Krasnoyarsk - Irkutsk Federal Road Agency and covers the whole cost of the project which is equal to $ 7.01 million. Date of award is July 03, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Moskovskij Trakt"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,03/07/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,10.65,KM,100,0,7.01,0,Not Applicable,Not Applicable,7.01,Not Applicable,Public,Federal Public Institutions Management Highway Krasnoyarsk - Irkutsk Federal Road Agency,7.01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Reconstruction of the bridge across the r.Cheptsa on the road Balezino - Sergino in Balezinsky District,SPI,Transport,Roads,Not Applicable,"The project entails the reconstruction of the bridge across the r.Cheptsa on the road Balezino - Sergino in Balezinsky District. Sponsor of the project is Ministry Of Transport And Roads Of The Udmurt Republic and covers the whole cost of the project which is equal to $ 7.01 million. Date of award is August 24, 2017. The company chosen for the construction is Zakrytoe Akcionernoe Obshhestvo ""Uralmostostroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,24/08/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,7.01,0,Not Applicable,Not Applicable,7.01,Not Applicable,Public,Ministry Of Transport And Roads Of The Udmurt Republic,7.01,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Vostokelectro Rehabilitation Project,SPI,Energy,Electricity Distribution,Not applicable,"The project entails the rehabilitation and modernization of low and medium voltage networks, including installation of 32,000 smart meters in Tup and Jeti-Oghuz regions in the east of Kyrgyzstan. Financing comprises of a loan of $4.70 million provided by EBRD. The total cost of the project is $7 million. Sponsor is state-owned JSC Vostokelectro electricity distribution company. Financial close took place on October 4, 2017.",Europe and Central Asia,Lower middle income,1,Kyrgyz Republic,,04/10/2017,Financial close,Brownfield,National,Not Applicable,N/A,N/A,100,0,7,4.7,0,Not Applicable,2.3,Not Applicable,SOE,JSC Vostokelectro,2.3,EBRD,4.7,Not Applicable,0,4.7,,,,4.7,0,6551287938,6079500,6197766119,7564738836
Major repair of roads Stavropol Izobilnyi-Novoaleksandrovsk-Krasnogvardeiskoe (9.1KM),SPI,Transport,Roads,Not Applicable,"The project entails the implementation of major repair of roads Stavropol Izobilnyi-Novoaleksandrovsk-Krasnogvardeiskoe, km 80 + 200 - km 89 + 300. Sponsor of the project is Ministry Of Road Transport Services And Stavropol Region and covers the whole cost of the project which is equal to $ 7 million. Date of award is May 15, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Smds Pmk"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,15/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,9.1,KM,100,0,7,0,Not Applicable,Not Applicable,7,Not Applicable,Public,Ministry Of Road Transport Services And Stavropol Region,7,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Rehabilitation of the highway M-12 Stryi-Ternopil-Kirovograd-Znamyanka (via Vinnytsia city) (65.413 KM),SPI,Transport,Roads,Not Applicable,"The project entails the rehabilitation of the highway M-12 Stryi-Ternopil-Kirovograd-Znamyanka (via Vinnytsia city) on the section 513 km + 515 km 578 + 928 (separate sections), Cherkasy oblast. Works are located in Ukraine. The total capacity of the project is 65.413 KM. Sponsor is Road service in Cherkassy region. Financing comprises $7 million provided by the sponsor. TOO SHRBU-48 wil construct the project. Contract was awarded on September 12, 2017.",Europe and Central Asia,Lower middle income,1,Ukraine,,12/09/2017,Date of award,Brownfield,State/Provincial,Not Applicable,65.413,KM,100,0,7,0,Not Applicable,Not Applicable,7,Not Applicable,Public,Road service in Cherkassy region,7,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,93270479389,45004645,1.63E+11,1.12E+11
"Rehabilitation of the road of general use of the state value T-16-27 of the checkpoint ""Serpneve"" - ??Tarutinu - Artsiz - Tatarbunari, (17.592 KM)",SPI,Transport,Roads,Not Applicable,"The project scope includes the rehabilitation of the road of general use of the state value T-16-27 of the checkpoint ""Serpneve"" - ??Tarutinu - Artsiz - Tatarbunari, km 39 + 918 - km 57 + 510. Works are located in Ukraine. The total capacity of the project is 17.592 KM. Sponsor is Road service in the Odessa region. Financing comprises $6.99 million provided by the sponsor. Contract was awarded on October 5, 2017.",Europe and Central Asia,Lower middle income,1,Ukraine,,05/10/2017,Date of award,Brownfield,Local/Municipal,Not Applicable,17.592,KM,100,0,6.99,0,Not Applicable,Not Applicable,6.99,Not Applicable,Public,Road service in the Odessa region,6.99,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,93270479389,45004645,1.63E+11,1.12E+11
Overhaul of road in Irkutsk,SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road in Irkutsk. Sponsor of the project is Regional State Public Institutions Directorate For Construction And Operation Of Highways Irkutsk Region and covers the whole cost of the project which is equal to $ 6.98 million. Date of award is May 17, 2017. The company chosen for the construction is Zao ""Novye Dorogi"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,17/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.98,0,Not Applicable,Not Applicable,6.98,Not Applicable,Public,Regional State Public Institutions Directorate For Construction And Operation Of Highways Irkutsk Region,6.98,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXXII)",SPI,Transport,Roads,Not Applicable,"The project entails the construction of motorways, roads, road network and other vehicular or pedestrian ways and runways of airfields in Moscow (project XXXXXII). Sponsor of the project is State Fiscal Institutions In The City Of Moscow On Overhaul Of Apartment Buildings Moscow Ukris and covers the whole cost of the project which is equal to $ 6.97 million. Date of award is December 27, 2017. The company chosen for the construction is Ooo ""I-Grupp"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,27/12/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.97,0,Not Applicable,Not Applicable,6.97,Not Applicable,Public,State Fiscal Institutions In The City Of Moscow On Overhaul Of Apartment Buildings Moscow Ukris,6.97,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Implementation of major repair of roads Umba - Varzuga (15KM),SPI,Transport,Roads,Not Applicable,"The project entails the implementation of major repair of roads Umba - Varzuga, 74 km - 89 km. Sponsor of the project is State Regional Public Institutions Management Highways Murmansk Region and covers the whole cost of the project which is equal to $ 6.95 million. Date of award is August 07, 2017. The company chosen for the construction is Ooo ""Tehprom"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,07/08/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,15,KM,100,0,6.95,0,Not Applicable,Not Applicable,6.95,Not Applicable,Public,State Regional Public Institutions Management Highways Murmansk Region,6.95,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Improvement Of The San Joaquin Roadway,SPI,Transport,Roads,Not Applicable,"The project entails the improvement of the San Joaquin roadway of Omagua road, Iquitos Nauta km. 58 district of Nauta Province of Loreto Loreto. The sponsor is Gobierno Regional De Loreto Sede Central and covers the whole amount of $6.95million. Date of award is October 11, 2017.",Latin America and the Caribbean,Upper middle income,1,Peru,,11/10/2017,Date of award,Brownfield,Local/Municipal,Not Applicable,N/A,N/A,100,0,6.95,0,Not Applicable,Not Applicable,6.95,Not Applicable,Public,Gobierno Regional De Loreto Sede Central,6.95,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.92E+11,31773839,1.72E+11,2.11E+11
Rehabilitation works on the Zabalj-Zrenjanin road ,SPI,Transport,Roads,Not Applicable,"The project envisages rehabilitation works on the 24 km-long Zabalj-Zrenjanin road, in northern Serbia. Total project cost is $6.95 million. Financing is being provided by the government. Sponsor is the Ministry of Infrastructure.The Serbian section of the motorway is projected to run through the municipalities of Merosina, Prokuplje and Kursumlija. Construction start took place on April 6, 2017.",Europe and Central Asia,Upper middle income,1,Serbia,,06/04/2017,Construction start,Brownfield,National,Not Applicable,24,KM,100,0,6.95,0,Not Applicable,Not Applicable,6.96,Not Applicable,Public,Ministry of Infrastructure,6.96,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,38299854688,7058322,46466728667,41431648801
Repair of road g.Yugorsk-pgt.Taozhny  (26.67KM),SPI,Transport,Roads,Not Applicable,"The project entails the perform repair of the object: The road g.Yugorsk-pgt.Taozhny between km 409 + 880 - km 436 + 552. Sponsor of the project is Public Institutions Of Khanty-Mansiysk Autonomous Okrug - Yugra Highway Administration and covers the whole cost of the project which is equal to $ 6.95 million. Date of award is September 25, 2017. The company chosen for the construction is Ooo ""Remdorstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,25/09/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,26.67,KM,100,0,6.95,0,Not Applicable,Not Applicable,6.95,Not Applicable,Public,Public Institutions Of Khanty-Mansiysk Autonomous Okrug - Yugra Highway Administration,6.95,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Construction of the highway bypass Nikolsk Nikolsky area of ??the Penza region,SPI,Transport,Roads,Not Applicable,"The project entails the construction of the highway bypass Nikolsk Nikolsky area of ??the Penza region. Sponsor of the project is State Fiscal Management Of Institutions Building And Transportation Management Penza Region and covers the whole cost of the project which is equal to $ 6.93 million. Date of award is September 01, 2017. The company chosen for the construction is Ooo Ob""Edinenie Dorozhno-Stroitel''Nyh Kompanij ""Povolzh''E"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,01/09/2017,Date of Award,Greenfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.93,0,Not Applicable,Not Applicable,6.93,Not Applicable,Public,State Fiscal Management Of Institutions Building And Transportation Management Penza Region,6.93,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Rehabilitation of public highway N-02 Lviv-Ternopil (17.073 KM),SPI,Transport,Roads,Not Applicable,"The project scope includes the rehabilitation of public highway N-02 Lviv-Ternopil on districts km 67 + 000 - km 71 + 000, km 71 + 000 - km 84 + 073 Lviv region. Works are located in Ukraine. The total capacity of the project is 17.073 KM. Sponsor is Road service in the Lviv region. Financing comprises $6.93 million provided by the sponsor. Motorway-South Ltd. will construct the project. Contract was awarded on July 26, 2017.",Europe and Central Asia,Lower middle income,1,Ukraine,,26/07/2017,Date of award,Brownfield,Local/Municipal,Not Applicable,17.073,KM,100,0,6.93,0,Not Applicable,Not Applicable,6.93,Not Applicable,Public,Road service in the Lviv region,6.93,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,93270479389,45004645,1.63E+11,1.12E+11
Repair of the roads in the Altai Territory,SPI,Transport,Roads,Not Applicable,"The project entails the perform repair of the roads in the Altai Territory. Sponsor of the project is Regional State Public Institutions Highway Administration Altai Territory and covers the whole cost of the project which is equal to $ 6.93 million. Date of award is April 07, 2017. The company chosen for the construction is Gup Dh Ak «Severo-Vostochnoe Dsu».",Europe and Central Asia,Upper middle income,1,Russian Federation,,07/04/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.93,0,Not Applicable,Not Applicable,6.93,Not Applicable,Public,Regional State Public Institutions Highway Administration Altai Territory,6.93,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Performing repairs on Orenburg highway - Belyaevka in the Orenburg region (39.89KM),SPI,Transport,Roads,Not Applicable,"The project entails the performing repairs Orenburg highway - Belyaevka km 35 + 100 to km 74 + 990 in the Orenburg region. Sponsor of the project is State Institution Main Traffic Of Orenburg Region and covers the whole cost of the project which is equal to $ 6.92 million. Date of award is May 02, 2017. The company chosen for the construction is Gosudarstvennoe Unitarnoe Predprijatie Orenburgskoj Oblasti ""Orenburgremdorstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,02/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,39.89,KM,100,0,6.92,0,Not Applicable,Not Applicable,6.92,Not Applicable,Public,State Institution Main Traffic Of Orenburg Region,6.92,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Extension of R.C. Pier, Port of Currimao",SPI,Transport,Ports,Not Applicable,"The project entails the Extension of R.C. Pier, Port of Currimao. Works are located in the Philippines. Sponsor is Philippine Ports Authority - Head Office. Financing comprises $ 6.91 million provided by the sponsor. Sunwest Construction and Development Corporation will construct the project. Contract was awarded on November 24, 2017.",East Asia and Pacific,Lower middle income,1,Philippines,,24/11/2017,Date of award,Brownfield,National,Not Applicable,N/A,N/A,100,0,6.91,Not Applicable,Not Applicable,Not Applicable,6.91,Not Applicable,Public,Philippine Ports Authority - Head Office,6.91,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,3.05E+11,103320222,2.24E+11,3.14E+11
"Reconstruction of the overpass over the railroad at km 25 + 950 of the road A-108 ""Moscow large ring""",SPI,Transport,Roads,Not Applicable,"The project entails the reconstruction of the overpass over the railroad at km 25 + 950 of the road A-108 ""Moscow large ring"" Dmitrov - Sergiev Posad - Nut-Zuevo - Voskresensk - Mikhnevo - Balabanovo - Ruza - Klin - Dmitrov (Ryazan-Kashirskoye), Moscow region.. Sponsor of the project is Federal Public Institutions Federal Highway Administration Central Russia Federal Road Agency and covers the whole cost of the project which is equal to $ 6.88 million. Date of award is March 15, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju ""Strojmost"" (Ooo ""Strojmost"") .",Europe and Central Asia,Upper middle income,1,Russian Federation,,15/03/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.88,0,Not Applicable,Not Applicable,6.88,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Central Russia Federal Road Agency,6.88,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Overhaul of the road A-158 Cool - Baksan - Elbrus in the Kabardino - Balkaria (12.5KM),SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of the road A-158 Cool - Baksan - Elbrus km 75 + 500 - km 88 + 000, in the Kabardino - Balkaria. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Caucasus Federal Road Agency and covers the whole cost of the project which is equal to $ 6.87 million. Date of award is November 13, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju 'Dorremstroj-1'.",Europe and Central Asia,Upper middle income,1,Russian Federation,,13/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,12.5,KM,100,0,6.87,0,Not Applicable,Not Applicable,6.87,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Caucasus Federal Road Agency,6.87,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Capital repair of the road M-5 ""Ural"" Moscow - Ryazan - Penza - Samara - Ufa - Chelyabinsk in the Ryazan region. (8KM)",SPI,Transport,Roads,Not Applicable,"The project entails the execution of works on capital repair of the road M-5 ""Ural"" Moscow - Ryazan - Penza - Samara - Ufa - Chelyabinsk between km 367 + 000 - km 375 + 000 in the Ryazan region.. Sponsor of the project is Federal Public Institutions Federal Highway Administration Of The Greater Volga Federal Road Agency and covers the whole cost of the project which is equal to $ 6.85 million. Date of award is April 04, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju ""Strojkapitallgrupp"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,04/04/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,8,KM,100,0,6.85,0,Not Applicable,Not Applicable,6.85,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Of The Greater Volga Federal Road Agency,6.85,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Execution of works on repairing the federal highway P-158 Nizhny Novgorod - Arzamas - Saransk - Issa - Penza - Saratov  (48.31KM),SPI,Transport,Roads,Not Applicable,"The project entails the execution of works on repairing the federal highway P-158 Nizhny Novgorod - Arzamas - Saransk - Issa - Penza - Saratov between km 529 + 400 - km 552 + 830 in the Saratov region, repair of federal highway P-158 Nizhny Novgorod - Arzamas - Saransk - Issa - Penza - Saratov between km 597 + 030 - km 616 + 914 in the Saratov region, repair federal highway P-228 Sizran - Saratov - operate between km 233 + 000 - km 238 + 000 in Saratov .. Sponsor of the project is Federal Public Institutions Federal Highway Administration Of The Greater Volga Federal Road Agency and covers the whole cost of the project which is equal to $ 6.85 million. Date of award is February 27, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju Proizvodstvenno-Kommercheskaja Firma ""G.P.B."".",Europe and Central Asia,Upper middle income,1,Russian Federation,,27/02/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,48.31,KM,100,0,6.85,0,Not Applicable,Not Applicable,6.85,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Of The Greater Volga Federal Road Agency,6.85,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Bridge in Albay and Sorsogon,SPI,Transport,Roads,Not Applicable,"The project entails the bridge construction in Albay and Sorsogon under the Bridge Construction Replacement Program (BCRP). Works are located in the Philippines. Sponsor is Department of Public Works and Highways - Region V. Financing comprises $ 6.84 million provided by the sponsor. Makapa Corporation will construct the project. Contract was awarded on December 27, 2017.",East Asia and Pacific,Lower middle income,1,Philippines,,27/12/2017,Date of award,Greenfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.84,Not Applicable,Not Applicable,Not Applicable,6.84,Not Applicable,Public,Department of Public Works and Highways - Region V,6.84,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,3.05E+11,103320222,2.24E+11,3.14E+11
Overhaul of road P-22 Caspian highway M-4 Don - Tambov - Volgograd - Astrakhan in the Astrakhan region (12KM),SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of road P-22 Caspian highway M-4 Don - Tambov - Volgograd - Astrakhan km 1158 + 000 - Km 1170 + 000 in the Astrakhan region. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Caspian Federal Road Agency and covers the whole cost of the project which is equal to $ 6.84 million. Date of award is November 07, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Dorsnab"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,07/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,12,KM,100,0,6.84,0,Not Applicable,Not Applicable,6.84,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Caspian Federal Road Agency,6.84,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Improvement Of The Service Of The Transitability Of The Section Of The Road Empalme road 3N,SPI,Transport,Roads,Not Applicable,"The project entails the improvement of the service of the transitability of the section of the road Empalme route pe 3n the joints Callayuc Cumbe in the district Callayuc Cutervo Cajamarca. The sponsor is Municipalidad Distrital De Callayuc and covers the whole amount of $6.81million. Date of award is November 28, 2017.",Latin America and the Caribbean,Upper middle income,1,Peru,,28/11/2017,Date of award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.81,0,Not Applicable,Not Applicable,6.81,Not Applicable,Public,Municipalidad Distrital De Callayuc,6.81,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.92E+11,31773839,1.72E+11,2.11E+11
"Overhaul of the road ""Orenburg-Sol-Iletsk- Akbulak -gr. The Republic of Kazakhstan, Orenburg region (10KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of the road ""Orenburg-Sol-Iletsk- Akbulak -gr. The Republic of Kazakhstan ""between km 130 + 000 - km 140 + 000, Orenburg region. Sponsor of the project is Federal Public Institutions Federal Highway Administration Priurale Federal Road Agency and covers the whole cost of the project which is equal to $ 6.8 million. Date of award is June 02, 2017. The company chosen for the construction is Gosudarstvennoe Unitarnoe Predprijatie Orenburgskaja Oblast' ""Orenburgremdorstroj"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,02/06/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,10,KM,100,0,6.8,0,Not Applicable,Not Applicable,6.8,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Priurale Federal Road Agency,6.8,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Arrangement of layers at the site wear a ring road around St. Petersburg (A-118). LOT 1,SPI,Transport,Roads,Not Applicable,"The project entails the arrangement of layers at the site wear a ring road around St. Petersburg (A-118). LOT 1. Sponsor of the project is Federal State Establishment Of The Office Of The Federal Highway Northwest After Nv Smirnova Federal Road Agency and covers the whole cost of the project which is equal to $ 6.79 million. Date of award is May 06, 2017. The company chosen for the construction is Akcionernoe Obshhestvo 'Vad'.",Europe and Central Asia,Upper middle income,1,Russian Federation,,06/05/2017,Date of Award,Greenfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.79,0,Not Applicable,Not Applicable,6.79,Not Applicable,Public,Federal State Establishment Of The Office Of The Federal Highway Northwest After Nv Smirnova Federal Road Agency,6.79,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Repair of highways in Domodedovskom Ruad (GO DME), Mytischinsky Ruad, Kashirskom Ruad",SPI,Transport,Roads,Not Applicable,"The project entails the repair of highways in Domodedovskom Ruad (GO DME), Mytischinsky Ruad, Kashirskom Ruad (in Lukhovitsky, Zarajsky areas and GO Kashira, lakes, ponds Silver). Sponsor of the project is State Organization Moscow Region Mosavtodor and covers the whole cost of the project which is equal to $ 6.79 million. Date of award is May 22, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost''Ju ""Transstrojservis"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,22/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.79,0,Not Applicable,Not Applicable,6.79,Not Applicable,Public,State Organization Moscow Region Mosavtodor,6.79,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Capital repair of the road P-208 Tambov - Penza between in the Penza region. (11KM),SPI,Transport,Roads,Not Applicable,"The project entails the execution of works on capital repair of the road P-208 Tambov - Penza between km 124 + 000 - km 135 + 000 in the Penza region.. Sponsor of the project is Federal Public Institutions Federal Highway Administration Of The Greater Volga Federal Road Agency and covers the whole cost of the project which is equal to $ 6.78 million. Date of award is May 29, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju ""Dorozhnoe Remontno-Stroitel'Noe Upravlenie"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,29/05/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,11,KM,100,0,6.78,0,Not Applicable,Not Applicable,6.78,Not Applicable,Public,Federal Public Institutions Federal Highway Administration Of The Greater Volga Federal Road Agency,6.78,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
Execution of emergency repair work to eliminate damage to public roads of regional significance for I and II climatic areas of the Primorsky Territory,SPI,Transport,Roads,Not Applicable,"The project entails the execution of emergency repair work to eliminate damage to public roads of regional significance for I and II climatic areas of the Primorsky Territory (Nadezhda, Khasan, St. Michael, October, Border metro areas, Ussuriysk city district) within the framework of the implementation of the subroutine number 2 development of the road sector in Primorsky Krai in 2013 - 2020 years, the state program of development of the Primorsky Territory transport complex in the years 2013-2021. Sponsor of the project is Department Of Transport And Road Management Primorye and covers the whole cost of the project which is equal to $ 6.78 million. Date of award is September 18, 2017. The company chosen for the construction is Akcionernoe Obshhestvo ""Primorskoe Avtodorozhnoe Remontnoe Predprijatie"".",Europe and Central Asia,Upper middle income,1,Russian Federation,,18/09/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,N/A,N/A,100,0,6.78,0,Not Applicable,Not Applicable,6.78,Not Applicable,Public,Department Of Transport And Road Management Primorye,6.78,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
"Overhaul of the road A-142 Trosno - Kalinovka, Kursk region (10KM)",SPI,Transport,Roads,Not Applicable,"The project entails the overhaul of the road A-142 Trosno - Kalinovka km 103 + 000 - km 113 + 000, Kursk region. Sponsor of the project is Federal Public Institutions Management Motorway Moscow-Kharkov Federal Road Agency and covers the whole cost of the project which is equal to $ 6.77 million. Date of award is November 27, 2017. The company chosen for the construction is Obshhestvo S Ogranichennoj Otvetstvennost'Ju «Dorozhnoe Remontno-Stroitel'Noe Upravlenie».",Europe and Central Asia,Upper middle income,1,Russian Federation,,27/11/2017,Date of Award,Brownfield,State/Provincial,Not Applicable,10,KM,100,0,6.77,0,Not Applicable,Not Applicable,6.77,Not Applicable,Public,Federal Public Institutions Management Motorway Moscow-Kharkov Federal Road Agency,6.77,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,0,0,1.28E+12,144342396,2.05E+12,1.58E+12
