"","Project.Name","Project.Description","Sub.sector","Technology","Country","Capacity","Capacity.Unit","Region"
"190","Sumsel 1","The project entails the design, financing, construction and operation of a coal - fired power plant and 275 kilovolt power transmission line in Muara Enim, South Sumatra. The facility will have a total capacity of 2 x 300 MW (net). PT Shenhua Guohua Lion Power Indonesia is the project company leading the development on behalf of the sponsors -  PT Lion Power Energy (25%) and China Shenhua Energy (75%). 

Project is being implemented under a build-own-operate (BOO) model. Under the ""One Belt One Road"" initiative, the key project will use the local high-moisture lignite of Indonesia and will be the first TPP project that will use this kind of coal in Indonesia. BOO projects in Indonesia benefit from a long- term PPA with PLN.

Total project cost is estimated at $750 million and is funded through debt and equity in 70:30 ratio. Financing comprises $520 million 15-year term loan and $8.6 million 2-month letter of credit facility. MLA and facility agent is China Construction Bank (Asia). Lenders are Bank of China, China Construction Bank and PT Bank ICBC Indonesia. The remaining cost will be covered by sponsors' equity contributions. 
Construction works were expected to have initiated in H2 2017.","Electricity generation","Coal","Indonesia","600","MW","East Asia and Pacific"
"191","Super Nyadi Hydropower","Super Nyadi Hydropower is a run - of - the river project located in Bahundada VDC, Lamjung District. The total capacity of the hydro plant will be 40.27 MW.   Siuri Nyadi Power Pvt. Ltd (""project company"") will implement the project on behalf of the sponsor - Ngadi Group Power.

This is an IPP project initiated on BOO modality. The plant will benefit of a long term PPA with NEA under which rate has been fixed at Rs 4.80 for unit for wet months and Rs 8.40 per units for dry months.

A consortium of banks led by NMB Bank will finance the project. The estimated cost of the project is Rs 6.75 billion ($64.5 million). Financial closure is estimated to be the commencement of construction - June 2017.","Electricity generation","Hydro","Nepal","30","MW","South Asia"
"192","Suryoday Solar Plant","The project envisages the construction and development of a 34 MW (AC) solar power plant at Venkayalapalle & Argonda, Telangana. Suryoday Energy Private Limited is the SPV which will implement the project.

Sponsor of the project is Shapoorji Pallonji Group.
This is a new, greenfield project initiated under a BOO modality. The concession contract was won by Shapoorji Pallonji  through a competitve bidding process  under the Telangana State Solar Policy. The bidding criteria was the lowest tariff per Kwh. The total output will be sold to the state-owned distribution utility in Telangana under a 25-year PPA.

Financial closure was estimated to have achieved on March 24, 2017. The project will require an investment of Rs 274 crore ($41.85 million) and is being funded by 75:25 debt to equity. Yes bank was reported to provide the debt funding amounting to $31.39 million, with the sponsor's contribution covering the remaining  $10.46 million.","Electricity generation","Solar","India","50","MW","South Asia"
"193","Svay Rieng PV Solar Farm","The project entails the construction of a solar plant with total capacity of 10 MW near Bavet, a special economic zone in the Svay Rieng province, Cambodia. 

The plant will be built and operated by Sunseap Asset (Cambodia), the local subsidiary of Singapore-based Sunseap International. Sunseap Asset (Cambodia) won the bid to build and run the facility by agreeing to sell the electricity produced to Cambodia’s Electricity Authority (EDC) for 9.1 cents per kilowatt hour. The facility has a 20-year operational expectancy.

The total cost of the solar farm is $12.5 million. The financing includes a $9.2 million loan provided by the Asian Development Bank (ADB). ADB is the lender of record and BRED Bank (Cambodia) is participating as B Loan lender and the Canadian Climate Fund for Private Sector in Asia (CFPS) provided a concession loan. However, the amount split among lenders has not been disclosed. Sunseap will contribute $3.3 million towards the project as equity.

Financial closure occurred on May 15, 2017.","Electricity generation","Solar","Cambodia","5","MW","East Asia and Pacific"
"194","Tae Basin Solid Waste Incineration Power Plant","On July 28, 2017, construction of the a solid waste incineration power plant commenced in Emin County, Xinjiang Uygur Autonomous Region. The sponsor of this Build Operate Transfer project was a local private company Anhui Shengyun Machinery Company Limited. The total investment was US$ 57.72 million (RMB 390 million) and Anhui Shengyun had a 100% stake in the project. The power plant had a power generation capacity of 9MW. It could process 600 tons of solid waste per day. The plant would serve 4 counties and cities around. Other particulars of the project were not reported.","Electricity generation","Waste","China","30","MW","East Asia and Pacific"
"195","Tajikistani Central Area 500KV Power Transmission and Distribution Project","The project entails the rehabilitation and restoration of the generating capacity of three power generating units of Nurek hydropower plant, improving their efficiency, and strengthening the safety of the Nurek dam in the Republic of Tajikistan. Rehabilitation of Nurek HPP will be conducted in two phases. Thus, $350 million Phase I will finance rehabilitation of three units, the key infrastructural components of the power plant, replacement of six auto-transformers that are used to evacuate the generated electricity, all of the dam safety enhancement related measures, and technical assistance to BT. The preparation of Phase II of the project will commence in 2017-2018 when the Government of Tajikistan mobilizes the remaining $350 million required to complete rehabilitation of Nurek HPP. The sources of financing for the project are as follows: $225.7 million from IDA and $56.565 million equivalent IDA grant; $60 million from AIIB; and $40 million from EDB. The Recipient will be the Ministry of Finance on behalf of the Republic of Tajikistan. The project development objectives are to rehabilitate and restore the generating capacity of three power generating units of Nurek hydropower plant, improve their efficiency, and strengthen the safety of the Nurek dam. Financial close took place on September 1, 2017.","Electricity Generation","Hydro","Tajikistan","285","MW","Europe and Central Asia"
"196","Talaricheruvu Solar Plant","The project envisages setting up of 100 MW grid connected solar photovoltaic power unit at Talaricheruvu village near Tadipatri in Anantapur district. Total capacity of the facility is 100 MW. Sponsor is Andhra Pradesh Power Generation Corporation Limited. Financing comprises $62.83 million provided by the sponsor. McNally Bharat Engineering Company Limited will construct the facility. Contract was awarded on March 15, 2017.","Electricity Generation","Solar","India","100","MW","South Asia"
"197","Tanjung Jati B Coal-Fired Power Plant (Units 5 & 6)","This project entails the development of an additional 2,000 MW coal - fired power facility (units 5 & 6) adjacent to the existing Unit 1 to 4 with capacity of 2,640 MW in total, located in Central Jawa, Indonesia.

The IPP project is being procured on BOT basis for 25 years and has been awarded by the state-owned Perusahaan Listrik Negara (PLN). The entity carrying out the expansion is PT Bhumi Jati, which is owned by Sumitomo Corp at 50%,  with Kansai Electric Power and PT United Tractors ( Astra Group) each holding 25%.
The power generated from the power plant will be sold to PT PLN (Persero) for 25 years.

Financing of the plant comprises debt and equity in 80:20 proportion. Debt funding is being provided by a syndication of private banks, namely  - Bank of Tokyo-Mitsubishi UFJ (nearly 9 per cent of debt), Mizuho Bank (nearly 9 per cent of debt), Mitsubishi UFJ Financial Group (6 per cent of debt), OCBC Bank (6 per cent), Sumitomo Mitsui Banking Corporation (nearly 9 per cent of debt), Sumitomo Mitsui Trust Holdings (nearly 7 per cent of debt) and Norinchukin Bank (6 per cent of total debt). Furthermore, JBIC is supporting the expansion with a loan of $1677.61 million (50 per cent of debt financing). Sponsors will contribute $838.8 million in equity towards the project split on a pro rata basis. As a result the total investment will amount to $4,194 million.
Nippon Export and Investment Insurance (NEXI) is providing insurance for the part of this loan provided by private-sector financial institutions.

Financial closure was achieved on March 27th 2017. The two new ultra-super critical units are expected to start operations in August 2021.","Electricity generation","Coal","Indonesia","2000","MW","East Asia and Pacific"
"198","Taqa Arabia Benban Solar Plant","The project entails the development of a 50 MW power facility located near Benban, Aswan city, Aswan Governorate of Upper Egypt. Taqa Arabia for Solar Energy S.A.E. is the project company that will undertake the project development and is sponsored solely by Taqa Arabia, part of QALAA holdings.

This is  a greenfield project developed  as part of Round 2 of the Egyptian Government feed-in-tariff (FiT) scheme for domestic solar PV and wind energy project. The project company will build, own and operate the power farm for a period of 25 years. The project company was awarded the contract on a license scheme with a predetermined tariff rate. The state-owned Egyptian Electricity and Transmission Company will offtake power from  the project under 25-year PPA. 

Required investment for the plant is estimated at $74.1 million and is being funded through debt and equity in 76:24 ration. Lenders to the projects are IFC which provided $17.8 million from its own account and syndicated further $38.8 million to Europe Arab bank ($4 million), Asian Infrastructure Investment Bank ($16.8 million), 	Oesterreichische Entwicklungsbank ($10 million) and Finnfund ($8 million). The remaining funding is equity financed. Financing was closed in end of October 2017.","Electricity generation","Solar","Egypt, Arab Rep.","50","MW","Middle East and North Africa"
"199","Tarbela Hydropower Plant Fifth Extension","The project entails the installation of three 470 MW turbines in Tarbela's fifth tunnel which was previously dedicated to agricultural use. Hence the total power generating capacity of the facility will reach 6,298 MW. The tender designs were prepared by Mott MacDonald and Coyne et Bellier. The power generation plant constitutes the second phase of the Lom-Pangar reservoir dam which has a capacity to supply six billion cubic metres of water to the Sanaga for the Songloulou dam. The project is being financed by the World Bank, granting $390 million, and AIIB who contributes $300 million and the remaining $133.5 million are to be funded by WAPDA ($124.5 million) and National Transmission and Dispatch Company (NTDC, $9 million) for an additional transmission line from Tarbela. The World Bank loan term is 20 years including six-year grace period. There are no guarantees or letters of credit on this deal, and there are no hedging facilities.The project would help in further development of the country’s hydropower potential along the Indus River Cascade and will reduce load-shedding, reduce cost of electricity production, and improve financial sustainability of the power sector. The financial close was on January 20, 2017.","Electricity Generation","Hydro","Pakistan","1410","MW","South Asia"
"200","Teni & Dindigul solar photovoltaic power plant","The project envisages setting up of grid connected solar photovoltaic based power unit in Teni and Dindigul districts. The project is located in Tamil Nadu. The total capacity of the facility is 50 MW. The sponsor is NHPC Limited and covers the whole cost of the project, equal to $62 million. Contract was awarded on June 19, 2017.","Electricity Generation","Solar","India","50","MW","South Asia"
"201","Thailand Waste-to-Energy Plant","The project entails the development and operation of a 22 MW Waste to energy project and waste separation and refuse-derived fuel (RDF) production facility in Thailand.

This is a new, greenfield project undertaken by Utilities Investment Fund L.P., owned by Utilities Investment Management.

The total investment amount is THB 1.24 billion ($36.6 million) and is being funded through debt and equity in 55:45 ratio. The sponsor will provide $16.5 million in equity contribution with the remaining cost covered by project financing of $20.1 million from undisclosed bank. 
Financial closure was reported to have achieved as of July 2017.","Electricity generation","Waste","Thailand","9","MW","East Asia and Pacific"
"202","Thoothukudi 200 MW wind power plant","The capacity of the facility is 200 MW. The sponsor is Solar Energy Corporation of India. The contractor is Orange Renewable Power Private Limited. The project cost is $154.52 million. The date of award is October 16, 2017.","Electricity Generation","Solar","India","200","MW","South Asia"
"203","Tieling Solid Waste Incineration Power Plant","In April 2017, construction of a solid waste incineration power plant commenced in Tieling City, Liaoning Province. The sponsor of this Build Operate Transfer project was the Hong Kong based CLP Group. The total investment was US$ 92.79 million (RMB 627 million), including an equity of US$ 28.12 million (RMB 190 million). CLP Grouphad a 51% stake in the project with the remaining shares belong to the Tieling Municipal Government. The power plant had a power generation capacity of 24MW. It could process 1200 tons of solid waste per day. Other particulars of the project were not reported.","Electricity generation","Waste","China","50","MW","East Asia and Pacific"
"204","Tierra Mojada CCGT Power Plant","The project envisages the construction and operation of a 874 MW combined cycle gas turbine plant located in Zapotlanejo Municipality in the State of Jalisco, Guadalajara. The project will also include the construction of two overhead transmission lines that will connect the project’s substations to two existing transmission lines owned and operated by the Federal Electricity Commission. 
Ciclo Combinado Tierra Mojada S. de R.L. de CV is the project company which will undertake the project on behalf of the sponsor - Fisterra Energy, part of Blackstone Group. Spanish engineering company Tecnicas Reunidas has been selected as the EPC contractor for the Tierra Mojada project, and Leidos is acting as independent engineer. 

The output from the power plant will be sold under a 20-year power purchase agreement (PPA) with CFE supplier Comisión Federal de Electricidad Calificados.

Financing for the project consist of a term loan and a letter of credit from six banks including: Société Générale, Calyon, Natixis, Sumitomo Mitsui, Mizuho, Intesa São Paulo. Financial closure occurred on 19 June 2017. Project is estimated to cost some $916 million and is being funded by $620 million debt and $296 million sponsor's equity.
Commissioning is expected by the end of December 2019.","Electricity generation","Natural Gas","Mexico","874","MW","Latin America and the Caribbean"
"205","TNB Sepang Solar Plant","The project entails the construction, financing and operation of the first large-scale solar project in Malaysia. The project is located in Kuala Langat, Selangor, Malaysia. The total capacity is 50 MW. It is being constructed by TNB Sepang Solar Sdn Bhd .The sponsor is Tenaga Nasional Berhad who contributes $54.7 million while the remaining part of the sum comes from Affin Bank Berhad ($ 78.9 million). Contract was awarded on August 15, 2017 and works are expected to be completed by November, 2018.","Electricity Generation","Solar","Malaysia","50","MW","East Asia and Pacific"
"206","Tobene Oil-Fired Power Plant","The project includes the expansion of the existing 96MW Tobene oil-fired power plant, located in Senegal with additional 19MW. Installed capacity will increase to 115MW. Melec PowerGen (Matelec Group) is the owner and operator of the plant. The company financed the majority of the cost of the expansion using other short-term resources, and it is now restructuring the facility’s finances on a long-term and sustainable basis.

IFC acted as Mandated Lead Arranger and A Lender, Banque Ouest Africaine de Development (BOAD) as Lender and EAIF and FMO, the Dutch Development Agency as B Lenders. The Emerging Africa Infrastructure Fund (EAIF) is increasing its lending to Melec. The new B loan of €6.6 million is part of the financing of the expansion and has a term of 13 years.","Electricity generation","Oil","Senegal","9","MW","Sub-Saharan Africa"
"207","Tokwe-Mukosi Mini - hydro plant","The project entails the construction, finance and operation of a new Tokwe-Mukosi Mini hydro plant. The facility has a total capacity of 15 MW. The Tokwe-Mukosi mini-hydro plant is located in the Masvingo province of Zimbabwe. The sponsor is Government of Zimbabwe and covers the whole cost of the project, equal to $20 million. The project will contribute for coping with the electricity shortage in Zimbabwe. Construction start took place on May 4, 2017.
","Electricity Generation","Hydro","Zimbabwe","15","MW","Sub-Saharan Africa"
"208","Tolo Wind Park","The project involves the construction and operation of a 72-MW wind park in Jeneponto, South Sulawesi, Indonesia. Tolo Wind Park will be build, own and operated by the special purpose vehicle PT Energi Bayu Jeneponto on behalf of the sole sponsor - Equis Energy.

The project has a 30-year power purchase agreement with Perusahaan Listrik Negara, the government-owned electricity distributor. Contract was awarded on a license scheme in the attempt of the Indonesian Government to reduce greenhouse gas emissions by prioritizing the use of renewable energy.
Siemens was chosen as a EPC contractor. 

Total investment cost is estimated at around $160 million. Although it was initially announced that OPIC will provide a loan worth $120 million, according to Shearman & Sterling submission, Asian Development Bank was the lender to PT Energi Bayu Jeneponto in the total amount of $120.75 million, split in 3 tranches. The remaining cost will be covered by equity contribution - about $39.25 million.  Hence, debt to equity ratio is 75:25.
Financial closure occurred on December 16, 2017.","Electricity generation","Wind","Indonesia","72","MW","East Asia and Pacific"
"209","Tricon Boston Consulting Limited (TBCL)","The project involves the development of three 50MW wind farms in Sindh province, Pakistan. The projects are being jointly developed by the Sapphire Group and Bank Alfalah through Tricon Boston Consulting Limited (TBCL),, a special purpose vehicle (SPV).  TBCL will develop, own and operate the 3x 50MW wind farm.

The total cost is estimated to be around $335 million. The IFC, the Asian Development Bank, and the Islamic Development Bank have each committed to direct loans of $66 million, while DEG has committed to a $40 million loan. The IFC’s loan on the project is part of the World Bank Group’s Pakistan Transformational Energy Initiative and Joint Implementation Plan, which plans to invest and loan up to $10 billion across Pakistan to help mitigate the country’s power shortages. 

Power from the project will be sold under a 20 year take-or-pay energy purchase agreement under a feed-in-tariff to Pakistan’s Central Power Purchasing Agency.","Electricity generation","Wind","Pakistan","150","MW","South Asia"
"210","Tucuman & Loma Capana II Thermal Power Plants","The project entails the construction of two thermal power plants - Tucuman & Loma Capana II with  capacity of 267 MW and 107 MW, respectively. The facilities will be located at  Tucuman and Neuquen provinces, Argentina. These are new, greenfield projects launched under the Fast power initiative of  the Government of Argentina's 'Fast Power' tender.

Y-Gen Eléctrica S.R.L. and Y-Gen Eléctrica II S.R.L. are the special purpose vehicles created for the execution of the projects. As a result of a competitive tender, the SPVs won the right to develop the plants.  Once operational, each project will benefit from a 10-year power purchase agreement (PPA) with the state-run wholesale electricity market administrator Compania Administradora del Mercado Mayorista Electrico SA (CAMMESA). 

General Electric and YPF Energia Electrica are the sponsors of the projects. As reported by IJGlobal, their ownership is divided as follows - approximately 67 per cent for YPF and 33 per cent for GE.

Financial closure is estimated to have reached on 20 June 2017 as reported by Citi submission form. Financing comprises $94 million in equity and a $219.5 senior secured term loan with a pricing of LIBOR + 400 bps during construction and LIBOR + 650 bps after construction. The term loan was arranged by Citigroup, Credit Suisse and Export Development Canada.","Electricity generation","Natural Gas","Argentina","374","MW","Latin America and the Caribbean"
"211","Tumen City Solid Waste Incineration Power Plant","On September 8, 2017, construction of a solid waste incineration power plant commenced in Tumen City, Jilin Province. The sponsor of this Build Operate Transfer project was a local private company Anhui Shengyun Machinery Company Limited. The total investment was US$ 36.41 million (RMB 246 million). Geoenviron had a 100% stake in the project. The power plant had a power generation capacity of 9MW. It could process 900 tons of solid waste per day. Other particulars of the project were not reported.","Electricity generation","Waste","China","20.8","MW","East Asia and Pacific"
"212","Turgusun HPP-1","The project entails the construction, finance and operation of new Turgusun HPP-1. New hydro power plant with a capacity of 24.9 MW will be built on Turgusun river in the East Kazakhstan region. Turgusun HPP-1 will produce up to 79.8 million kilowatt hours of electricity per year. The total cost is $ 37.10 million,  $16 million of this sum will be provided by the Development Bank of Kazakhstan and $21.10 million will be provided by the Government of Kazakhstan. The Turgusun HPP-1 is financed within the State Program on industrial-innovative development in 2015-2019. The loan term is 12 years. Financial close took place on February 24, 2017.","Electricity Generation","Hydro","Kazakhstan","43367","MW","Europe and Central Asia"
"213","Tuzla Unit 7 coal-fired power station","The project entails the construction, financing and operation of a Tuzla coal-fired power station in Bosnia. The capacity of the facility is 450 megawatt (MW). The project is being implemented by consortium which included China Gezhouba Group and Guandong Electric Power Design. The initiative is being developed by the Bosnian utility Elektroprivreda BIH (EPBIH) which plans to add the plant unit to its 715 MW Tuzla plant, commissioned in 1978. The project is being financed by China’s Exim bank which secured a $732 million loan for the construction of the new generating plant. So EPBiH will finance 15% of the project, worth a total of $798.6 million, while a loan from China's ExIm bank will cover the remaining 85%. The loan will be repaid over 20 years, including a five-year grace period. Financial close took place on November 27, 2017.","Electricity Generation","Coal","Bosnia and Herzegovina","450","MW","Europe and Central Asia"
"214","Upper Solu Khola Hydropower Plant","Upper Solu Khola Hydropower Project is a run-of-the-river type scheme located at Beni VDC of Solukhumbu district in the Central Region of Nepal. The total output of the power station is 18 MW.

Upper Solu Hydro Electric Company (""project company"") will undertake the project on behalf of the sponsor Beni Hydropower. This is a greenfield project initiated through BOO modality.
The project company will sell the electricity generated to the NEA (Nepal Electricity Authority) under a long-term PPA. 

Total investment is estimated at Rs 3.27 crore ($30.1 million) being funded at 67:33 debt to equity ratio. Debt finance was arranged from four banks, led by NMB bank. The other three lenders are: Nepal Bangladesh Bank, Vibor Society Development Bank and Siddhartha Bank. Total debt equal Rs 2.2  crore ($20.26 million).","Electricity generation","Hydro","Nepal","20","MW","South Asia"
"215","Vayu Urja Bharat Wind Farm","The project envisages the construction and operation of a 120 MW wind power facility at Anantapur district, Andhra Pradesh.

 Vayu Urja Bharat Pvt Ltd is the SPV, wholly owned by Hero Group. Output will be sold to the state utility under a 25-year PPA.

Total investment amounts to $164.9 million and is being funded at 80:20 debt to equity. Debt financing of $132.1 million was provided by Kotak Mahindra Bank and PTC India. Equity contribution amounts to $32.8 million. Financial closure occurred on 22 February 2017.","Electricity generation","Wind","India","120","MW","South Asia"
"216","Ventos da Bahia Wind Park","The Brazilian company VDB F2 Geracao de Energia S.A., a subsidiary of the French EDF EN do Brasil (EDF Energies Nouvelles), was granted the authorization to build four wind power plants  located in the state of Bahia, municipality of Mulungu do Morro (116.6 MW in total capacity). The 35-year contracts were signed with the regulatory agency ANEEL starting in May 2016. The company created four special purpose companies to manage the projects:

Ventos da Bahia I - Parque Eolico Ventos Da Bahia I S.A. (28.6  MW)
Ventos da Bahia III – Parque Eolico Ventos Da Bahia III S.A.  (30.8 MW)
Ventos da Bahia IX – Parque Eolico Ventos Da Bahia IX S.A. (28.6  MW)
Ventos da Bahia XVIII – Parque Eolico Ventos Da Bahia XVIII S.A. (28.6 MW)

The total investment in the power plants was estimated at US$ 174 million (BRL 553 million). Financial closure was achieved in June 2017, when the project was granted a US$ 153 million (BRL 486.4 million) loan from the Brazilian bank BNDES. Construction works commenced in 2017 and were expected to be concluded by 2018.

The government periodically runs public bidding for the sale of energy to the country´s distribution companies. Ventos da Bahia I, III, IX and XVIII won the public bidding that took place in November 2015 by offering an average tariff of US$ 64/MWh (BRL 203.96/MWh). The project companies signed 20-year power purchase agreements with the several electricity distribution companies.

The company was granted the right to take part in the government program called Regime Especial de Incentivos para o Desenvolvimento da Infra-Estrutura (Reidi). Companies selected to take part in this program were given tax cuts in the acquisition of capital equipment and construction material acquired both in the domestic and international markets (this incentive represented a cost reduction of about 9.25%).  In addition, the company was allowed to use accelerated depreciation methods of accounting for construction expenditures.","Electricity generation","Wind","Brazil","116.6","MW","Latin America and the Caribbean"
"217","Viborillas Solar Power Plant","The project entails the development and operation of a 100 MW solar PV plant located in Jalisco state. The project is named Viborillas Solar Power Plant and will be developed by a special purpose vehicle - Solar Park Viborillas, S. de R.L de C.V. The sole owner and developer of the project is Jinko Solar, part of Jinko Power Company. The company selected Solarcentury to partner on the development of its Mexican power project.

The output will be sold to the CFE under 15-year PPAs and related clean energy certificates (CELs) for a 20-year period. The contract was awarded in April 2016 in Mexico's first long-term power auction based on lowest tariff per unit of electricity. The auction involved 227 offers and 69 bidders, with just 17 projects awarded, two of which have been won by JinkoSolar and Solarcentury. 

Financial closure occurred on December 22, 2017. Project financing was developed by six commercial banks in the form of term loan and VAT facility. The term loan amounts to $170 million and VAT facility to $19 million. The funding was provided in equal split by Mitsubishi UFJ Financial Group, SMBC, Natixis, BBVA, Intesa San Paolo and Societe General. In addition, the sponsor provided $47.3 million i equity contribution. Debt to equity ratio is 80:20.","Electricity generation","Solar","Mexico","100","MW","Latin America and the Caribbean"
"218","Vientos Los Hercules Wind Farm","The project entails the development and operation of a 97.2 MW wind farm located in Santa Cruz, Argentina. The facility will generate around 400 GWh of electricity per year. EREN Renewable Energy will undertake the project on behalf of its shareholders - Total SA with 23%, and EREN Group with 77%.

The Vientos Los Hercules project was among the 12 winning projects announced in October 2016 following the first round of the national RenovAR program. This competitive tender process had been launched by the Argentinean government in May 2016 in order to diversify the national electricity mix while lowering energy generation costs. The criteria for winning a contract was the lowest cost of unit of energy. As a result, EREN Renewable Energy signed a Power Purchase Agreement (PPA) for 20 years with the Argentinian administrator of the wholesale electricity market CAMMESA at the end of January 2017.

The project will be financed through a combination of a 16-year limited recourse loan as an export credit facility arranged by KfW IPEX-Bank, guaranteed by Euler Hermes through a comprehensive political and commercial export credit insurance, and a 15-year parallel credit facility provided by the German development finance institution (DEG), and the Dutch development bank Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden (FMO).

Total investment is estimated at about $150 million. As of December 2017, no further financing details are available. 

The commissioning of the wind turbine is scheduled for the first quarter of 2019.","Electricity generation","Wind","Argentina","97.2","MW","Latin America and the Caribbean"
"219","Villanueva Solar Farm","The project consists of the Villanueva 1 plant, with a capacity of 427 MW, and the 327 MW Villanueva 3 project, which will be built simultaneously. The project is being developed by local subsidiary Enel Green Power Mexico, a unit of the group’s renewable energy arm Enel Green Power through  Villanueva Solar SA de CV and Parque Solar Villanueva Tres SA de CV.

The solar project was selected in the energy auction held by the Mexican government in 2016. The plant will be located in the state of Coahuila, Viesca. The output generated will be sold under a 15-year PPA with the state utility.
The overall 754 MW facility is expected to enter into service in the second half of 2018 and to generate over 1,700 GWh each year, equivalent to the energy consumption needs of over 1.3 million Mexican households, while avoiding the emission of more than 780,000 tonnes of CO2 in the atmosphere.

Enel will be investing around $650 million dollars in the construction of Villanueva and is being financed through the Group’s own resources.
Construction commenced in March 2017, and considered as financial closure date.  Project  will be connected to the grid in the second half of 2018.","Electricity generation","Solar","Mexico","754","MW","Latin America and the Caribbean"
"220","Warnes (21MW) and Ventolera (24MW) Wind Farms","The financing will be used for the construction of two wind farms in Bolivia representing 45MW of new capacity. One of the wind farms will be built in Warnes within the department of Santa Cruz and the second in Ventolera in Tarija. The total capacity of the project is 45 MW. The sponsor is Empresa Nacional de Electricidad Bolivia which covers $37.35 million of the project's total cost, while the remaining amount of $78.76 million will come from Agence Francaise de Development. Contract was awarded on September 22, 2017.","Electricity Generation","Hydro","Bolivia","45","MW","Latin America and the Caribbean"
"221","Wenxi County Solid Waste Incineration Power Plant","On June 13, 2017, construction of the a solid waste incineration power plant commenced in Wenxi County, Shanxi Province. The sponsor of this Build Operate Transfer project was a local private company Wenxi County Guanghong Solid Waste Treatment Company Limited. The total investment was US$ 48.84 million (RMB 330 million) and Guanghong had a 100% stake in the project. The power plant had a power generation capacity of 12MW. It could process 500 tons of solid waste per day. The concession term was 25 years. Other particulars of the project were not reported.","Electricity generation","Waste","China","12","MW","East Asia and Pacific"
"222","West Cairo Power Station Expansion 650 MW ","The project involves the construction of steam electricity production units with a capacity of 650MW. It includes the construction of a powerhouse, a substation, access roads and the installation of steam generators, condensers, transformers and auxiliaries, and the laying of transmission lines. Sponsor is Egyptian Electricity Holding Company (EEHC). Hassan Allan Holding and Consolidated Contractors Company (CCC) are implementing the project. Total investment stands at $696 million.Project financing amounts to $421 million provided by Arab Fund for Economic and Social Development (AFESD) ($216 million), Kuwait Fund for Arab Economic Development ($105 million),  Saudi Fund for Development (SFD) ($100 million). Construction started on July 4, 2017 and the project is expected to be completed by May 2021.","Electricity Generation","Steam","Egypt, Arab Rep.","650","MW","Middle East and North Africa"
"223","Wind Energy Holding Portfolio","The project involves the building and operation of 5 x 90 MW wind plants in located in Thailand’s north east provinces of Nakhon Ratchasima and Chaiyaphum. Five separate project companies were created to lead the development of the farms - Theparak Wind Co., Ltd (T1), Tropical Wind Co. Ltd (T2), K.R.S. Three Co. Ltd (T3), K.R. One Co. Ltd (T4) and Krissana Wind Power Co. Ltd (NKS). All of them are solely owned by Wind Energy Holdings, which is in turn majority owned by KPN Group. 

WEH has contracted three of the wind farms with GE Renewable Energy and six substations with GE Power. Construction on the projects has begun and commercial operations are expected to begin in 15 months. 
The investment is entirely covered by debt -  arranged and wrapped by Siam Commercial Bank in the amount of $1,135.3 million.","Electricity generation","Wind","Thailand","450","MW","East Asia and Pacific"
"224","Winnergy Benban Solar Plant","The project entails the development and operation of a 20 MW solar PV plant in Benban, Aswan Governorate of Upper Egypt. Winnergy for Renewable Energy Projects (Winnergy) is the project company that is leading the project on behalf of the sponsors.

This is a greenfield project launched under BOO modality. The contract was awarded on a license scheme method with a predetermined tariff.  The Egyptian Electricity and Transmission Company will offtake all electricity from the project under 25-year power purchase agreements.

Ownership structure of the project company is as follows - Altawakol Group (51%), Maccaferri Industrial Group (25%), Desert Technologies (15%) and Spectrum International for Renewable Energy (9%). The remaining 1% is held by small investors.

Required investment for the plant is $29 million and is being funded via debt and equity - $23.6 million and $5.4 million, respectively.  Lenders are IFC which provided $7.85 million from its own account and syndicated $15.75 million to  Europe Arab Bank, Asian Infrastructure Investment Bank and CDC Group. Financial closure took place in end of October 2017.","Electricity generation","Solar","Egypt, Arab Rep.","19.3","MW","Middle East and North Africa"
"225","Wulanchabu Ctiy Jining District Solid Waste Incineration Power Plant","On April 19, 2017, construction of a solid waste incineration power plant commenced in Jining District, Wulanchabu City, Inner Mongolia autonomous Region. The sponsors of this Build Operate Transfer project was a local private company Anhui Shengyun Machinery Company Limited. The total investment was US$ 49.46 million (RMB 340 million) and Shengyun had a 100% stake in the project. The power plant had a capacity of 15MW.","Electricity generation","Waste","China","22.6","MW","East Asia and Pacific"
"226","Wuyi County Solid Waste Incineration Power Plant","In June 2015, a local private company Zhejiang Weiming Environmental Protection Co., Ltd. signed a Public Private Partnership agreement with the Wujin County Government to finance, build and operate a solid waste incineration power plant in Wuyi County, Zhejiang Province. The total investment was US$ 53.09 million (RMB 365.70 million) and Zhejiang Weiling had a 100% stake in the project. The concession term was 30 years. The plant could process 900 tons of solid waste per day and its power generation capacity was 24MW. A special purpose vehicle Wuyi Weiming Environmental Protection Energy Co., Ltd. was established to implement the project. Construction commenced on February 15, 2017.","Electricity generation","Waste","China","50","MW","East Asia and Pacific"
